rc  libapache2-mod-php8.2                   8.2.24-1+ubuntu22.04.1+deb.sury.org+1        amd64        server-side, HTML-embedded scripting language (Apache 2 module)
ii  php-xml                                 2:8.3+95+ubuntu22.04.1+deb.sury.org+1        all          DOM, SimpleXML, WDDX, XML, and XSL module for PHP [default]
ii  php-zip                                 2:8.3+95+ubuntu22.04.1+deb.sury.org+1        all          Zip module for PHP [default]
ii  php8.2                                  8.2.25-1+ubuntu22.04.1+deb.sury.org+1        all          server-side, HTML-embedded scripting language (metapackage)
ii  php8.2-bz2                              8.2.25-1+ubuntu22.04.1+deb.sury.org+1        amd64        bzip2 module for PHP
ii  php8.2-cli                              8.2.25-1+ubuntu22.04.1+deb.sury.org+1        amd64        command-line interpreter for the PHP scripting language
ii  php8.2-common                           8.2.25-1+ubuntu22.04.1+deb.sury.org+1        amd64        documentation, examples and common module for PHP
ii  php8.2-curl                             8.2.25-1+ubuntu22.04.1+deb.sury.org+1        amd64        CURL module for PHP
ii  php8.2-fpm                              8.2.25-1+ubuntu22.04.1+deb.sury.org+1        amd64        server-side, HTML-embedded scripting language (FPM-CGI binary)
ii  php8.2-gd                               8.2.25-1+ubuntu22.04.1+deb.sury.org+1        amd64        GD module for PHP
ii  php8.2-intl                             8.2.25-1+ubuntu22.04.1+deb.sury.org+1        amd64        Internationalisation module for PHP
ii  php8.2-mbstring                         8.2.25-1+ubuntu22.04.1+deb.sury.org+1        amd64        MBSTRING module for PHP
ii  php8.2-mysql                            8.2.25-1+ubuntu22.04.1+deb.sury.org+1        amd64        MySQL module for PHP
ii  php8.2-opcache                          8.2.25-1+ubuntu22.04.1+deb.sury.org+1        amd64        Zend OpCache module for PHP
ii  php8.2-readline                         8.2.25-1+ubuntu22.04.1+deb.sury.org+1        amd64        readline module for PHP
ii  php8.2-xml                              8.2.25-1+ubuntu22.04.1+deb.sury.org+1        amd64        DOM, SimpleXML, XML, and XSL module for PHP
ii  php8.2-xmlrpc                           3:1.0.0~rc3-10+ubuntu22.04.1+deb.sury.org+1  amd64        XML-RPC servers and clients functions for PHP
ii  php8.2-zip                              8.2.25-1+ubuntu22.04.1+deb.sury.org+1        amd64        Zip module for PHP
ii  php8.3-cli                              8.3.13-1+ubuntu22.04.1+deb.sury.org+1        amd64        command-line interpreter for the PHP scripting language
ii  php8.3-common                           8.3.13-1+ubuntu22.04.1+deb.sury.org+1        amd64        documentation, examples and common module for PHP
ii  php8.3-mbstring                         8.3.13-1+ubuntu22.04.1+deb.sury.org+1        amd64        MBSTRING module for PHP
ii  php8.3-mysql                            8.3.13-1+ubuntu22.04.1+deb.sury.org+1        amd64        MySQL module for PHP
ii  php8.3-opcache                          8.3.13-1+ubuntu22.04.1+deb.sury.org+1        amd64        Zend OpCache module for PHP
ii  php8.3-readline                         8.3.13-1+ubuntu22.04.1+deb.sury.org+1        amd64        readline module for PHP
ii  php8.3-xml                              8.3.13-1+ubuntu22.04.1+deb.sury.org+1        amd64        DOM, SimpleXML, XML, and XSL module for PHP
ii  php8.3-zip                              8.3.13-1+ubuntu22.04.1+deb.sury.org+1        amd64        Zip module for PHP
ii  pkg-php-tools                           1.42build1                                   all          various packaging tools and scripts for PHP packages
